label,value,headline,bold,underline,italic,fontSize
Deutschland,,true,,,,
Dresden,,,,,,
Leipzig,,,,,,
Jena,,,,,,
Zwickau,,,,,,
Berlin-Neukölln,,,,,,
Berlin,,,,,,
Berlin,,,,,,
Potsdam,,,,,,
Eberswalde,,,,,,
Prenzlau,,,,,,
Hamburg,,,,,,
Lüneburg,,,,,,
Kiel,,,,,,
Oldenburg,,,,,,
Bremen,,,,,,
Hannover,,,,,,
Detmold,,,,,,
Bielefeld,,,,,,
Marburg,,,,,,
Kassel,,,,,,
Gießen,,,,,,
Göttingen,,,,,,
"Lise-Meitner-Str. 13, 42119 Wuppertal",,,,,,
Münster,,,,,,
Osnabrück,,,,,,
Köln,,,,,,
Bonn,,,,,,
Trier,,,,,,
Landau,,,,,,
Siegen,,,,,,
Frankfurt,,,,,,
Aschaffenburg ,,,,,,
Darmstadt,,,,,,
Wiesbaden,,,,,,
Saarbrücken ,,,,,,
Mannheim,,,,,,
Ludwigshafen,,,,,,
Hockenheim,,,,,,
Heidelberg,,,,,,
Stuttgart,,,,,,
Tübingen,,,,,,
Heilbronn,,,,,,
Karlsruhe,,,,,,
Bad Bergzabern,,,,,,
Landkreis Konstanz,,,,,,
Freiburg,,,,,,
Lörrach,,,,,,
Murg,,,,,,
München,,,,,,
Augsburg,,,,,,
Sulzbrunn,,,,,,
Deggenhausertal,,,,,,
Ulm,,,,,,
Nürnberg,,,,,,
Bayreuth,,,,,,
Bamberg,,,,,,
Erfurt,,,,,,
Weimar,,,,,,
Österreich,,true,,,,
Salzburg,,,,,,
Graz,,,,,,
Schweiz,,true,,,,
Interlaken,,,,,,
Uster,,,,,,
Ostschweiz,,,,,,
